64,65,87,35,79,15,90,68,30,62,33,24,34,51,63,6
77,59,14,21,36,77,63,70,12,45,17,81,44,78,4,14
35,24,83,64,7,57,32,55,11,30,84,72,12,31,42,58
53,15,41,86,27,20,94,2,37,9,3,76,68,80,97,40
79,88,52,17,9,47,43,65,38,6,5,99,28,26,50,68
73,48,43,78,54,33,20,6,15,34,22,26,49,55,75,53
59,58,42,17,76,36,76,30,71,84,30,43,18,85,17,56
84,55,26,0,92,9,1,80,60,29,81,70,91,90,22,74
3,34,11,72,80,73,76,81,70,73,17,87,86,52,95,7
53,21,89,40,97,49,13,30,79,7,28,19,84,61,31,43
11,4,70,36,26,51,68,16,36,53,23,90,7,0,79,87
39,43,74,1,31,51,72,80,10,51,1,57,8,94,90,90
86,70,3,81,24,52,58,54,27,79,41,54,28,71,44,60
94,7,14,34,23,60,9,46,0,33,50,71,22,93,14,18
88,60,2,47,84,49,31,9,4,56,65,97,3,72,45,48
85,39,48,34,40,20,14,54,35,49,64,45,69,94,7,6
