73,9,2,57,28,53,75,95,61,2,52,3,13,51,75,69,77,96,37,51,72,98,88,75,83,8,72,70,25,73,0,53,91,54,52,3,96,5,94,54,73,13,30,71,13,65,96,59,99,79,88,3,26,83,55,2,32,35,74,91,30,20,83,84,43,96,32,4,11,53,5,71,72,67,85,75,82,92,53,6,14,88,32,17,68,99,3,6,8,81,87,67,13,25,57,50,76,34,85,87,47,62,98,97,80,9,67,77,75,84,6,22,10,19,11,15,97,81,54,20,22,38,4,68,69,36,77,40
92,48,90,5,0,76,78,75,16,56,77,31,46,52,29,34,54,31,90,85,17,25,2,31,1,28,31,95,7,68,52,20,54,89,97,47,18,40,31,57,43,47,77,7,44,98,26,2,31,7,25,93,73,33,51,55,73,96,41,51,21,21,3,0,99,80,23,82,7,41,83,32,16,34,31,13,71,12,96,97,73,1,65,57,52,91,35,3,18,3,89,70,21,50,1,98,47,70,27,90,14,93,11,3,32,50,40,25,40,72,8,20,2,58,81,78,89,89,27,39,83,93,71,38,20,82,3,68
78,98,92,94,94,39,38,92,36,80,45,11,49,60,45,36,84,79,37,20,67,46,0,7,31,98,48,44,57,71,15,95,3,79,68,93,37,84,97,80,19,36,74,58,92,32,43,55,65,14,9,14,18,99,88,90,55,18,95,98,63,60,36,46,4,70,45,29,57,24,56,55,54,43,62,99,26,53,79,65,52,53,1,26,56,10,86,19,33,85,79,27,65,82,98,48,80,78,45,30,55,64,2,14,49,15,12,49,44,7,92,3,7,45,17,97,99,42,56,61,50,76,71,48,74,1,21,59
67,33,36,33,35,40,11,23,54,39,6,21,73,95,29,90,36,91,48,89,88,17,1,9,15,23,71,92,11,95,53,87,52,88,76,86,76,96,49,61,59,68,26,4,98,79,29,35,77,61,42,20,9,8,41,26,35,49,13,45,83,24,85,17,36,97,34,73,45,91,24,34,19,55,44,11,69,16,51,14,74,86,28,12,36,99,31,96,98,37,39,34,9,5,76,73,71,83,0,31,26,95,68,39,93,21,90,2,48,48,75,5,81,45,10,0,53,24,25,48,37,6,16,43,19,44,85,94
39,36,17,29,73,53,25,41,50,42,30,98,53,82,70,91,82,14,56,22,58,93,36,74,67,46,64,14,76,76,41,98,55,15,99,85,37,54,32,87,20,79,55,41,16,47,36,25,1,69,39,50,60,60,76,37,36,11,20,68,45,83,5,64,38,93,36,88,27,46,89,18,38,76,73,99,93,9,23,45,70,73,31,2,57,8,35,92,49,72,58,19,93,43,73,0,54,6,48,19,17,66,39,4,94,70,20,59,55,34,28,0,72,75,0,75,59,11,61,55,47,21,58,67,96,58,55,95
12,3,93,99,10,94,44,63,56,5,0,23,96,91,35,43,16,9,77,15,95,70,39,14,60,41,52,11,7,83,68,62,52,27,60,46,38,96,44,96,49,98,53,74,56,40,96,60,17,92,14,56,70,26,22,29,9,46,95,5,55,89,74,51,83,62,35,80,17,2,11,59,84,49,75,55,65,20,78,1,5,35,77,57,34,90,47,42,10,21,70,94,8,42,95,21,68,96,38,52,42,95,26,81,53,99,40,60,40,46,74,28,86,33,32,19,76,69,53,67,38,98,81,24,26,27,71,91
79,59,17,25,38,10,53,11,46,6,44,59,83,1,85,28,29,13,46,54,3,20,16,39,21,72,74,9,1,97,92,96,62,72,75,28,72,17,47,93,35,56,6,91,25,35,6,92,56,94,11,80,13,24,18,36,61,5,93,98,83,23,48,56,69,89,26,3,54,31,56,1,21,22,1,7,80,76,18,38,85,18,75,62,96,70,26,24,40,19,12,67,45,38,98,78,74,13,4,53,98,75,96,49,93,61,38,19,64,38,70,75,88,66,13,8,22,9,85,81,20,91,56,71,87,15,26,14
83,55,61,19,27,7,2,31,19,1,48,34,33,70,46,87,2,81,98,37,31,28,71,78,94,30,10,60,31,12,3,67,80,15,84,50,44,78,74,33,12,76,23,9,72,1,12,26,66,68,22,91,4,95,66,19,98,11,90,91,42,14,63,51,4,90,6,6,83,95,17,66,61,91,27,74,74,17,64,89,45,16,5,48,71,24,8,7,51,36,38,21,8,18,13,17,25,45,47,91,15,60,15,46,10,46,54,53,28,17,57,50,0,26,14,0,47,62,4,2,20,62,49,65,97,96,8,88
47,48,62,60,72,44,96,10,87,99,42,3,92,40,74,91,44,5,11,51,26,8,46,14,37,47,64,91,97,38,60,79,53,80,94,40,10,71,79,45,66,39,36,35,83,82,2,24,58,7,34,70,82,18,24,85,29,63,97,54,22,50,11,59,89,87,65,3,78,75,39,74,10,63,31,87,3,50,77,45,86,12,41,41,73,49,65,75,75,26,23,25,61,8,12,28,97,89,13,75,62,89,46,15,31,47,20,37,70,75,88,98,33,47,65,15,44,48,43,2,92,60,9,51,39,13,93,8
16,73,26,86,70,43,11,82,0,54,88,75,24,91,82,78,68,16,50,83,13,19,21,25,61,46,0,74,0,42,46,40,75,69,35,86,29,99,20,65,81,10,90,36,53,4,22,60,65,61,7,33,77,13,1,67,95,51,81,41,47,81,40,67,38,91,11,28,56,96,49,41,55,31,68,94,86,38,39,7,71,26,36,43,17,26,19,46,81,93,46,58,25,61,4,3,13,78,10,48,98,13,98,78,20,34,42,13,22,63,85,97,14,6,1,89,11,76,88,18,17,19,5,19,41,3,5,15
