16,3,13,88,79,37,53,67,68,31,81,76,91,67,29,3,38,98,0,25,90,66,50,98,69,86,38,47,23,7,27,38,81,61,46,45,53,68,92,1,28,52,99,0,93,13,77,76,3,76,15,42,49,59,90,41,73,15,36,49,67,56,91,81
30,30,88,7,99,24,58,98,14,1,85,22,46,77,30,93,98,64,69,0,69,56,92,1,58,61,83,79,76,75,14,81,47,50,49,44,58,30,61,3,28,65,98,67,40,5,41,57,64,47,88,50,41,83,48,36,32,69,56,92,14,45,81,45
52,87,43,9,99,28,27,94,54,55,27,62,72,13,58,75,96,59,52,51,86,51,92,65,4,0,91,74,62,9,65,61,47,97,41,1,79,0,55,53,81,86,94,31,67,65,53,84,0,36,99,56,89,25,42,69,42,18,60,91,33,81,83,74
38,15,74,37,35,68,82,30,23,57,44,10,70,25,46,3,47,94,25,16,26,9,90,36,99,50,68,87,95,88,7,90,72,82,37,22,22,3,98,5,43,28,55,55,78,90,65,31,86,8,46,54,58,9,83,26,14,37,11,68,30,92,56,97
96,40,94,27,28,3,43,39,46,80,78,96,53,21,89,75,36,88,32,43,62,91,81,72,42,38,8,84,93,83,56,49,10,48,6,18,79,58,28,69,56,2,73,8,74,12,11,83,64,91,35,15,87,38,23,74,80,25,83,49,44,43,59,94
7,22,99,80,56,58,11,96,22,13,45,15,84,19,89,71,85,29,90,51,61,84,14,67,24,14,56,11,71,25,32,66,55,18,20,16,83,72,65,62,10,84,9,21,67,41,52,59,53,26,18,28,80,89,78,71,18,41,38,47,58,5,76,59
76,85,96,47,94,28,24,59,79,10,9,10,36,72,95,63,1,22,86,46,27,30,13,51,32,85,13,27,89,17,24,30,67,18,89,4,86,80,42,39,61,22,77,69,58,58,70,70,50,42,23,91,58,91,49,32,55,61,61,26,90,81,26,20
9,32,86,7,91,13,63,43,85,48,49,53,4,9,44,25,48,35,47,27,9,18,12,14,72,37,8,73,63,90,70,14,89,26,17,6,61,49,33,81,40,1,41,5,31,7,61,65,22,3,1,24,34,15,10,93,20,5,12,93,50,20,24,94
23,69,45,40,16,52,80,56,77,60,63,90,70,70,55,16,7,75,96,73,76,40,8,93,50,66,65,58,27,81,4,61,0,16,23,93,10,58,40,16,90,87,54,20,25,25,11,58,3,77,51,7,15,28,14,87,56,20,70,75,27,7,11,43
24,48,47,57,1,55,13,49,24,79,29,57,1,33,5,60,13,17,81,92,90,2,36,67,12,31,39,1,41,27,61,81,2,12,71,41,91,53,26,42,3,85,53,45,72,52,81,0,63,82,23,94,26,16,23,44,20,5,62,7,9,48,44,69
40,22,25,42,39,96,92,83,54,84,38,87,42,20,41,8,63,62,84,16,0,10,39,91,72,64,62,29,31,46,2,23,40,7,56,71,5,82,71,51,13,67,81,53,62,69,71,63,71,62,37,6,89,90,57,37,78,22,69,62,45,59,82,29
43,18,43,89,87,97,95,99,57,46,22,35,61,92,14,8,96,23,67,87,98,67,18,11,57,85,71,84,72,63,63,39,7,82,26,14,31,30,49,91,9,91,37,51,32,43,99,6,98,10,54,14,10,45,40,58,31,31,32,11,87,39,35,77
